Роман;455731528;/help
Роман;455731528;/hi
Роман;455731528;/time
Роман;455731528;/calc
Роман;455731528;/calc
Роман;455731528;/candy
Роман;455731528;/c 8
Роман;455731528;/calc
Роман;455731528;/calc 5+2/4
Роман;455731528;/candy
Роман;455731528;/time
Роман;455731528;/time
Роман;455731528;/candy
Роман;455731528;5
Роман;455731528;/candy
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;10
Роман;455731528;25
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;/candy
Роман;455731528;31
Роман;455731528;/candy
Роман;455731528;42
Роман;455731528;/candy
Роман;455731528;5
Роман;455731528;5
Роман;455731528;6
Роман;455731528;1
Роман;455731528;2
Роман;455731528;/candy
Роман;455731528;32
Роман;455731528;/candy
Роман;455731528;30
Роман;455731528;10
Роман;455731528;5
Роман;455731528;/candy
Роман;455731528;1
Роман;455731528;1
Роман;455731528;2
Роман;455731528;5
Роман;455731528;3
Роман;455731528;10
Роман;455731528;2
Роман;455731528;/candy
Роман;455731528;30
Роман;455731528;5
Роман;455731528;/help
Роман;455731528;/calc 8*7
Роман;455731528;/
Роман;455731528;/
Роман;455731528;/start
Роман;455731528;/help
Роман;455731528;/candy
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;2
Роман;455731528;1
Роман;455731528;1
Роман;455731528;/candy
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;/candy
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;5
Роман;455731528;18
